Date,高股息ETF有哪些,月配息高股息ETF,高股息ETF推薦,高股息ETF比較,高股息ETF怎麼選,00878,國泰永續高股息,00919,群益台灣精選高息,復華台灣科技優息,00940,元大台灣價值高息,00713,元大台灣高息低波,0056 00878,0056 vs 00878,0056 00878 差別,0056 00878 比較,00878 vs 00919,00878 00919 比較,00919 00929,00919 00940,00919好嗎,00929好嗎,00940好嗎,00713好嗎,高股息ETF年化報酬率,高股息ETF總報酬率,0056報酬率,00878報酬率,00919報酬率,00929報酬率,00940報酬率,0056績效,00919績效,00929績效,高股息ETF殖利率,高股息ETF每月配息,0056配息,00878配息,0056填息,00878收益平準金,0056成分股,00878成分股,00919成分股,00878換股時間,00919成分股調整,00940長榮比重,高股息ETF風險,高股息ETF折溢價,00878費用,00919費用,00929經理費,0056保管費,高股息ETF左手換右手,高股息ETF稅,高股息ETF配息稅,00878二代健保,高股息ETF 54C,高股息ETF補充保費,高股息ETF定期定額,0056定期定額,00929定期定額,高股息ETF質押,0056股票質押,00878質押維持率,吃豆腐 00940,高股息自製月配息,清流君 高股息,柴鼠兄弟 高股息,陳重銘 0056,高股息ETF缺點,0056怎麼買
2021-10-24,0,0,0,0,,13,46,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,29,21,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,58
2021-10-31,0,0,0,0,,20,45,0,0,0,0,0,11,55,16,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,24,21,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2021-11-07,0,0,0,0,,19,49,0,0,0,0,0,19,63,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,31,24,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2021-11-14,0,0,0,0,,25,50,0,0,0,0,0,31,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,30,41,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,58,0,0,,,,0,0,0,0,0,0
2021-11-21,0,0,0,0,,17,34,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,22,18,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,100,,,,0,0,0,0,0,0
2021-11-28,0,0,0,0,,17,36,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,24,24,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2021-12-05,0,0,84,0,,18,34,0,0,0,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,43,30,0,0,0,0,0,,0,0,0,0,0,0,100,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2021-12-12,0,0,0,0,,17,44,0,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,46,19,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2021-12-19,0,0,0,0,,16,41,0,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,55,21,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2021-12-26,0,0,0,0,,13,22,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,23,16,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-01-02,0,0,0,0,,17,41,0,0,0,0,0,7,42,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,40,39,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-01-09,0,0,0,0,,16,39,0,22,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,32,48,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,54,0,0,,,,0,0,0,0,0,0
2022-01-16,0,0,0,0,,16,39,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,26,31,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-01-23,0,0,0,0,,16,32,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,6,13,0,0,26,31,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,51
2022-01-30,0,0,0,0,,7,26,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,4,5,0,0,20,29,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,54,0,0,,,,0,0,0,0,0,51
2022-02-06,0,0,0,0,,34,79,0,0,0,0,0,6,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,9,26,0,0,40,53,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,100,0,0,,,,0,0,0,0,0,100
2022-02-13,0,0,0,0,,44,95,0,0,0,0,0,6,0,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,39,71,0,0,0,0,0,,68,0,0,0,0,0,0,0,0,,0,65,0,0,,,,0,0,0,0,0,78
2022-02-20,0,0,48,0,,46,100,0,0,0,0,0,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,0,0,32,61,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,53,0,0,,,,0,0,0,0,0,75
2022-02-27,0,0,0,0,,24,50,0,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,36,32,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,62,0,0,,,,0,0,0,0,0,52
2022-03-06,0,0,0,0,,37,76,0,0,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,37,56,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,52,0,0,,,,0,0,0,0,0,33
2022-03-13,0,0,0,0,,32,56,0,0,0,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,48,53,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,41,0,0,,,,0,0,0,0,0,35
2022-03-20,0,0,0,0,,28,51,0,0,0,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,7,18,0,0,32,46,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,40,0,0,,,,0,0,0,0,0,0
2022-03-27,0,0,0,0,,30,52,0,0,0,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,30,45,0,0,0,0,0,,58,0,0,0,0,0,0,0,0,,0,35,0,0,,,,0,0,0,0,0,0
2022-04-03,0,0,0,0,,22,46,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,26,46,0,0,0,0,0,,60,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-04-10,0,0,0,0,,28,55,0,0,0,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,34,45,0,0,0,0,0,,61,0,0,0,0,0,0,0,0,,0,47,0,0,,,,0,0,0,0,0,0
2022-04-17,0,0,0,0,,31,57,0,0,0,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,28,0,22,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,44,0,0,,,,0,0,0,0,0,0
2022-04-24,0,0,0,0,,28,50,0,0,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,100,24,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,100,0,0,39
2022-05-01,0,0,0,0,,33,60,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,0,27,32,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-05-08,0,0,0,0,,39,57,0,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,30,49,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-05-15,0,0,0,0,,40,66,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,23,45,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-05-22,0,0,0,0,,30,30,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,20,45,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-05-29,0,0,0,0,,25,40,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,30,41,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-06-05,0,0,0,0,,26,33,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,38,31,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,55,0
2022-06-12,0,0,0,0,,30,49,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,50,37,0,0,0,0,0,,66,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-06-19,0,0,0,0,,37,46,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,56,46,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,32
2022-06-26,0,0,0,0,,33,48,0,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,39,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-07-03,0,0,0,0,,32,42,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,36,41,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-07-10,0,0,0,0,,31,44,0,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,8,11,0,0,28,35,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-07-17,0,0,0,0,,30,42,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,27,31,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-07-24,0,0,0,0,,29,42,0,0,0,0,0,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,22,29,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,47,0,0,,,,0,0,0,0,0,0
2022-07-31,0,0,0,0,,48,60,0,0,0,0,0,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,10,33,0,0,20,45,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,33,0,0,,,,0,0,0,0,0,0
2022-08-07,0,0,0,0,,41,55,0,0,0,0,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,0,85,19,30,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-08-14,0,0,0,0,,51,63,0,0,0,0,0,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,19,48,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,34,0,0,,,,0,0,0,0,0,0
2022-08-21,0,0,0,0,,44,41,0,0,0,0,0,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,18,42,0,0,0,0,0,,0,0,72,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-08-28,0,0,0,0,,44,60,<1,0,0,0,0,14,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,25,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,42,0,0,,,,0,0,0,0,0,0
2022-09-04,0,0,0,0,,38,47,<1,0,0,0,0,14,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,0,0,23,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-09-11,0,0,0,0,,44,50,1,0,0,0,0,33,52,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,0,0,20,36,0,0,0,0,0,,69,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-09-18,0,0,0,0,,41,62,3,0,0,0,0,17,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,0,0,27,35,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-09-25,0,0,0,0,,47,56,3,15,0,0,0,16,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,36,50,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-10-02,0,0,0,0,,48,69,5,38,0,0,0,12,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,21,32,0,43,41,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,55,0,0,,,,0,0,0,0,0,0
2022-10-09,0,0,0,0,,44,48,2,0,0,0,0,9,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,0,0,42,44,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,100,0,0,0,,,,0,0,0,0,0,0
2022-10-16,0,0,0,0,,42,48,4,18,0,0,0,8,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,40,0,63,41,4,0,0,0,0,,100,0,0,0,0,0,0,0,0,,0,61,0,0,,,,0,0,0,0,0,0
2022-10-23,0,0,0,0,,40,42,2,0,0,0,0,7,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,0,0,32,36,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-10-30,0,0,0,0,,50,62,1,0,0,0,0,9,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,45,0,0,31,40,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-11-06,0,0,0,0,,50,55,2,0,0,0,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,32,33,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-11-13,0,0,0,0,,49,53,3,0,0,0,0,10,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,49,0,26,30,3,0,0,0,0,,0,0,83,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-11-20,0,0,0,0,,38,36,3,0,0,0,0,8,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,11,15,27,0,23,45,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-11-27,0,0,0,0,,40,32,3,14,0,0,0,16,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,34,0,44,42,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-12-04,0,0,0,0,,37,40,3,0,0,0,0,22,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,59,36,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-12-11,0,0,0,0,,38,44,2,0,0,0,0,29,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,0,0,66,34,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,32,0,0,,,,0,0,0,0,0,0
2022-12-18,0,0,0,0,,37,42,2,0,0,0,0,24,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,7,17,0,0,58,30,3,0,0,0,0,,0,0,0,0,0,0,0,94,0,,0,0,0,0,,,,0,0,0,0,0,0
2022-12-25,0,0,0,0,,35,38,2,0,0,0,0,17,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,32,28,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2023-01-01,0,0,0,0,,32,27,2,0,0,0,0,16,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,19,27,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,33,0,0,,,,0,0,0,0,0,0
2023-01-08,0,0,0,0,,39,40,1,0,0,0,0,16,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,18,34,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,47,0,0,,,,0,0,0,0,0,0
2023-01-15,0,0,0,0,,27,21,1,0,0,0,0,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,18,23,0,0,0,0,0,,0,0,100,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2023-01-22,0,0,0,0,,13,11,1,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,15,18,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2023-01-29,0,0,0,0,,56,77,2,0,8,0,0,24,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,13,52,0,0,26,52,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,43,0,0,,,,0,0,0,0,0,40
2023-02-05,0,0,0,0,,63,66,3,0,0,0,0,22,37,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,43,0,0,25,50,2,0,0,0,0,,0,0,0,0,0,0,0,95,0,,0,36,0,0,,,,0,0,0,0,0,42
2023-02-12,0,0,0,0,,87,75,2,0,0,0,0,25,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,11,51,0,0,25,44,0,0,0,0,0,,72,0,0,0,0,0,0,0,0,,0,37,0,0,,,,0,0,0,0,0,46
2023-02-19,0,0,0,0,,59,58,2,0,0,0,0,29,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,10,37,0,0,27,43,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,36,0,0,,,,0,0,0,0,0,0
2023-02-26,0,0,0,0,,46,37,2,0,0,0,0,38,32,36,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,0,22,41,3,0,0,0,0,,73,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2023-03-05,0,0,0,0,,65,61,2,0,0,0,0,54,51,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,0,0,25,53,2,0,0,0,0,,72,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2023-03-12,0,0,0,63,,71,71,2,0,0,0,0,61,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,9,38,0,0,31,63,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,42
2023-03-19,0,0,0,0,,58,52,2,0,0,0,0,49,34,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,0,0,24,42,0,0,0,0,0,,0,0,0,0,100,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0
2023-03-26,0,0,0,0,,50,42,2,0,0,0,0,41,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,17,0,20,28,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,33
2023-04-02,66,0,0,0,,32,30,1,0,0,0,0,25,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,14,21,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,38,0,0,,,,0,0,0,0,0,0
